---,ObjectType,Variant,Prefix,Suffix,Description
AimOffset1D,"/Script/Engine.AimOffsetBlendSpace1D","","AO_","",""
AimOffsetBlendSpace,"/Script/Engine.AimOffsetBlendSpace","","AO_","",""
AnimatedVectorField,"/Script/Engine.VectorFieldAnimated","","VFA_","",""
AnimationComposite,"/Script/Engine.AnimComposite","","AC_","",""
AnimationNotify,"/Script/Engine.AnimNotify","","AN_","",""
AnimBlueprint,"/Script/Engine.AnimBlueprint","","ABP_","",""
AnimMontage,"/Script/Engine.AnimMontage","","AM_","",""
AnimSequence,"/Script/Engine.AnimSequence","","AS_","",""
AssetDefinitionRedirector,"/Script/EngineAssetDefinitions.AssetDefinition_Redirector","","","",""
Attenuation,"/Script/Engine.SoundAttenuation","","ATT_","",""
BlendSpace,"/Script/Engine.BlendSpace","","BS_","",""
BlendSpace1D,"/Script/Engine.BlendSpace1D","","BS_","",""
Blueprint,"/Script/Engine.Blueprint","","BP_","",""
BlueprintFunctionLibrary,"/Script/Engine.BlueprintFunctionLibrary","FunctionLibrary","BPFL_","",""
BlueprintInterface,"/Script/Engine.Blueprint","Interface","BPI_","",""
BlueprintMacroLibrary,"/Script/Engine.Blueprint","MacroLibrary","BPML_","",""
CameraAnim,"/Script/TemplateSequence.CameraAnimationSequence","","CAS_","",""
ColorCurve,"/Script/Engine.CurveLinearColor","","CC_","",""
CubeRenderTarget,"/Script/Engine.TextureRenderTargetCube","","RTC_","",""
CurveFloat,"/Script/Engine.CurveFloat","","CF_","",""
CurveLinearColorAtlas,"/Script/Engine.CurveLinearColorAtlas","","CA_","",""
CurveTable,"/Script/Engine.CurveTable","","CT_","",""
CurveVector,"/Script/Engine.CurveVector","","CV_","",""
DataAsset,"/Script/Engine.DataAsset","","DA_","",""
DataTable,"/Script/Engine.DataTable","","DT_","",""
DialogueVoice,"/Script/Engine.DialogueVoice","","DV_","",""
DialogueWave,"/Script/Engine.DialogueWave","","DW_","",""
FoliageType,"/Script/Foliage.FoliageType","","FT_","",""
Font,"/Script/Engine.Font","","Font_","",""
FontFace,"/Script/Engine.FontFace","","FontFace_","",""
ForceFeedbackEffect,"/Script/Engine.ForceFeedbackEffect","","FFE_","",""
InputAction,"/Script/EnhancedInput.InputAction","","IA_","",""
InputMappingContext,"/Script/EnhancedInput.InputMappingContext","","IMC_","",""
LevelInstance,"/Script/Engine.LevelInstance","","LI_","",""
LevelSequence,"/Script/LevelSequence.LevelSequence","","LS_","",""
MapBuildDataRegistry,"/Script/Engine.MapBuildDataRegistry","","","_BuiltData",""
Material,"/Script/Engine.Material","","M_","",""
MaterialInstanceConstant,"/Script/Engine.MaterialInstanceConstant","","MI_","",""
MaterialFunctionMaterialLayer,"/Script/Engine.MaterialFunctionMaterialLayer","","ML_","",""
MaterialFunctionMaterialLayerInstance,"/Script/Engine.MaterialFunctionMaterialLayerInstance","","MLI_","",""
MaterialFunctionMaterialLayerBlend,"/Script/Engine.MaterialFunctionMaterialLayerBlend","","MLB_","",""
MaterialFunctionMaterialLayerBlendInstance,"/Script/Engine.MaterialFunctionMaterialLayerBlendInstance","","MLBI_","",""
AnimationLayerInterface,"/Script/Engine.AnimLayerInterface","","ALI_","",""
MaterialFunction,"/Script/Engine.MaterialFunction","","MF_","",""
MaterialFunctionInstance,"/Script/Engine.MaterialFunctionInstance","","MFI_","",""
MaterialDeferredDecal,"/Script/Engine.Material","DeferredDecal","M_","_Decal",""
MaterialInstanceConstantDeferredDecal,"/Script/Engine.MaterialInstanceConstant","DeferredDecal","MI_","_Decal",""
MaterialInstanceConstantLightFunction,"/Script/Engine.MaterialInstanceConstant","LightFunction","MI_","_LF",""
MaterialInstanceConstantPostProcess,"/Script/Engine.MaterialInstanceConstant","PostProcess","MI_","_PP",""
MaterialInstanceConstantUserInterface,"/Script/Engine.MaterialInstanceConstant","UserInterface","MI_","_UI",""
MaterialInstanceConstantVolume,"/Script/Engine.MaterialInstanceConstant","Volume","MI_","_Vol",""
MaterialLightFunction,"/Script/Engine.Material","LightFunction","M_","_LF",""
MaterialParameterCollection,"/Script/Engine.MaterialParameterCollection","","MPC_","",""
MaterialPostProcess,"/Script/Engine.Material","PostProcess","M_","_PP",""
MaterialUserInterface,"/Script/Engine.Material","UserInterface","M_","_UI",""
MaterialVolume,"/Script/Engine.Material","Volume","M_","_Vol",""
MorphTarget,"/Script/Engine.MorphTarget","","MT_","",""
ObjectLibrary,"/Script/Engine.ObjectLibrary","","OL_","",""
ObjectRedirector,"/Script/CoreUObject.ObjectRedirector","","","",""
ParticleSystem,"/Script/Engine.ParticleSystem","","PS_","",""
PhysicalMaterial,"/Script/PhysicsCore.PhysicalMaterial","","PM_","",""
PhysicsAsset,"/Script/Engine.PhysicsAsset","","PHYS_","",""
PoseAsset,"/Script/Engine.PoseAsset","","PA_","",""
ReverbEffect,"/Script/Engine.ReverbEffect","","Reverb_","",""
Rig,"/Script/Engine.Rig","","Rig_","",""
SkeletalMesh,"/Script/Engine.SkeletalMesh","","SKM_","",""
SkeletalMeshLODSettings,"/Script/Engine.SkeletalMeshLODSettings","","SK_","_LODSettings",""
Skeleton,"/Script/Engine.Skeleton","","SK_","",""
SlateBrush,"/Script/Engine.SlateBrushAsset","","SB_","",""
SlateWidgetStyle,"/Script/SlateCore.SlateWidgetStyleAsset","","SWS_","",""
SoundAttenuation,"/Script/Engine.SoundAttenuation","","ATT_","",""
SoundClass,"/Script/Engine.SoundClass","","","",""
SoundConcurrency,"/Script/Engine.SoundConcurrency","","","_SC",""
SoundCue,"/Script/Engine.SoundCue","","SC_","",""
SoundMix,"/Script/Engine.SoundMix","","Mix_","",""
SoundWave,"/Script/Engine.SoundWave","","SW_","",""
StaticMesh,"/Script/Engine.StaticMesh","","SM_","",""
StaticVectorField,"/Script/Engine.VectorFieldStatic","","VF_","",""
SubsurfaceProfile,"/Script/Engine.SubsurfaceProfile","","SP_","",""
Texture2D,"/Script/Engine.Texture2D","","T_","",""
TextureCube,"/Script/Engine.TextureCube","","TC_","",""
TextureLightProfile,"/Script/Engine.TextureLightProfile","","TLP_","",""
TextureRenderTarget2D,"/Script/Engine.TextureRenderTarget2D","","RT_","",""
TouchInterfaceSetup,"/Script/Engine.TouchInterface","","TI_","",""
UserDefinedEnum,"/Script/Engine.UserDefinedEnum","","E","",""
UserDefinedStruct,"/Script/CoreUObject.UserDefinedStruct","","S_","",""
WidgetBlueprint,"/Script/UMGEditor.WidgetBlueprint","","WBP_","",""
World,"/Script/Engine.World","","","",""
Class,"/Script/CoreUObject.Class","","X","",""
RuntimeVirtualTexture,"/Script/Engine.RuntimeVirtualTexture","","RVT_","",""
VolumeTexture,"/Script/Engine.VolumeTexture","","VT_","",""
SlateWidgetAsset,"/Script/SlateCore.SlateWidgetStyleAsset","","Style_","",""
SlateBrushAsset,"/Script/Engine.SlateBrushAsset","","Brush_","",""
AnimNotifyState,"/Script/Engine.AnimNotifyState","","ANS_","",""
GameMode,"/Script/Engine.GameModeBase","","GM_","",""
PlayerController,"/Script/Engine.PlayerController","","PC_","",""
