---,ObjectType,Variant,Prefix,Suffix
AimOffsetBlendSpace,"/Script/Engine.AimOffsetBlendSpace","","AO_",""
AimOffset1D,"/Script/Engine.AimOffsetBlendSpace1D","","AO_",""
AnimBlueprint,"/Script/Engine.AnimBlueprint","","ABP_",""
AnimationComposite,"/Script/Engine.AnimComposite","","AC_",""
AnimMontage,"/Script/Engine.AnimMontage","","AM_",""
AnimationNotify,"/Script/Engine.AnimNotify","","AN_",""
AnimSequence,"/Script/Engine.AnimSequence","","AS_",""
BlendSpace,"/Script/Engine.BlendSpace","","BS_",""
BlendSpace1D,"/Script/Engine.BlendSpace1D","","BS_",""
LevelSequence,"/Script/LevelSequence.LevelSequence","","LS_",""
MorphTarget,"/Script/Engine.MorphTarget","","MT_",""
PaperFlipbook,"/Script/Paper2D.PaperFlipbook","","PFB_",""
Rig,"/Script/Engine.Rig","","Rig_",""
SkeletalMesh,"/Script/Engine.SkeletalMesh","","SK_",""
Skeleton,"/Script/Engine.Skeleton","","SKEL_",""
AIFController,"/Script/AIModule.AIController","","AIC_",""
BehaviorTree,"/Script/AIModule.BehaviorTree","","BT_",""
BlackboardData,"/Script/AIModule.BlackboardData","","BB_",""
Decorator,"/Script/AIModule.BTDecorator","","BTD_",""
Service,"/Script/AIModule.BTService","","BTS_",""
EnvironmentQuery,"/Script/AIModule.EnvQuery","","EQS_",""
DialogueVoice,"/Script/Engine.DialogueVoice","","DV_",""
DialogueWave,"/Script/Engine.DialogueWave","","DW_",""
ReverbEffect,"/Script/Engine.ReverbEffect","","Reverb_",""
SoundAttenuation,"/Script/Engine.SoundAttenuation","","ATT_",""
SoundClass,"/Script/Engine.SoundClass","","",""
SoundConcurrency,"/Script/Engine.SoundConcurrency","","","SC"
SoundCue,"/Script/Engine.SoundCue","","A","_Cue"
SoundMix,"/Script/Engine.SoundMix","","Mix_",""
SoundWave,"/Script/Engine.SoundWave","","A_",""
Attenuation,"/Script/Engine.SoundAttenuation","","","_ATT"
Blueprint,"/Script/Engine.Blueprint","","BP_",""
BTTask_BlueprintBase,"/Script/AIModule.BTTask_BlueprintBase","","BTT_",""
