---,ObjectType,Variant,Prefix,Suffix
AIFController,"/Script/AIModule.AIController","","AIC_",""
AimOffset1D,"/Script/Engine.AimOffsetBlendSpace1D","","AO_",""
AimOffsetBlendSpace,"/Script/Engine.AimOffsetBlendSpace","","AO_",""
AnimatedVectorField,"/Script/Engine.VectorFieldAnimated","","VFA_",""
AnimationComposite,"/Script/Engine.AnimComposite","","AC_",""
AnimationNotify,"/Script/Engine.AnimNotify","","AN_",""
AnimBlueprint,"/Script/Engine.AnimBlueprint","","ABP_",""
AnimMontage,"/Script/Engine.AnimMontage","","AM_",""
AnimSequence,"/Script/Engine.AnimSequence","","AS_",""
AssetDefinitionRedirector,"/Script/EngineAssetDefinitions.AssetDefinition_Redirector","","",""
Attenuation,"/Script/Engine.SoundAttenuation","","","_ATT"
BehaviorTree,"/Script/AIModule.BehaviorTree","","BT_",""
BlackboardData,"/Script/AIModule.BlackboardData","","BB_",""
BlendSpace,"/Script/Engine.BlendSpace","","BS_",""
BlendSpace1D,"/Script/Engine.BlendSpace1D","","BS_",""
Blueprint,"/Script/Engine.Blueprint","","BP_",""
BlueprintFunctionLibrary,"/Script/Engine.BlueprintFunctionLibrary","FunctionLibrary","BPFL_",""
BlueprintInterface,"/Script/Engine.Blueprint","Interface","BPI_",""
BlueprintMacroLibrary,"/Script/Engine.Blueprint","MacroLibrary","BPML_",""
BTTask_BlueprintBase,"/Script/AIModule.BTTask_BlueprintBase","","BTT_",""
CameraAnim,"/Script/TemplateSequence.CameraAnimationSequence","","CAS_",""
ColorCurve,"/Script/Engine.CurveLinearColor","","Curve_","_Color"
ControlRig,"/Script/ControlRig.ControlRig","","CR_",""
CubeRenderTarget,"/Script/Engine.TextureRenderTargetCube","","RTC_",""
CurveFloat,"/Script/Engine.CurveFloat","","Curve_","_Float"
CurveLinearColorAtlas,"/Script/Engine.CurveLinearColorAtlas","","CA_",""
CurveTable,"/Script/Engine.CurveTable","","Curve_","_Table"
CurveVector,"/Script/Engine.CurveVector","","Curve_","_Vector"
DataAsset,"/Script/Engine.DataAsset","","DA_",""
DataTable,"/Script/Engine.DataTable","","DT_",""
Decorator,"/Script/AIModule.BTDecorator","","BTD_",""
DialogueVoice,"/Script/Engine.DialogueVoice","","DV_",""
DialogueWave,"/Script/Engine.DialogueWave","","DW_",""
EditorUtilityBlueprint,"/Script/Blutility.EditorUtilityBlueprint","","EUBP_",""
EditorUtilityWidgetBlueprint,"/Script/Blutility.EditorUtilityWidgetBlueprint","","EUW_",""
EnvironmentQuery,"/Script/AIModule.EnvQuery","","EQS_",""
EnvironmentQueryContext,"/Script/AIModule.EnvQueryContext","","EQS_","_Context"
FileMediaSource,"/Script/MediaAssets.FileMediaSource","","FMS_",""
FoliageType,"/Script/Foliage.FoliageType","","FT_",""
Font,"/Script/Engine.Font","","Font_",""
FontFace,"/Script/Engine.FontFace","","FontFace_",""
ForceFeedbackEffect,"/Script/Engine.ForceFeedbackEffect","","FFE_",""
IKRetargeter,"/Script/IKRig.IKRetargeter","","RTG_",""
IKRigDefinition,"/Script/IKRig.IKRigDefinition","","IK_",""
InputAction,"/Script/EnhancedInput.InputAction","","IA_",""
InputMappingContext,"/Script/EnhancedInput.InputMappingContext","","IMC_",""
LandscapeGrassType,"/Script/Landscape.LandscapeGrassType","","LG_",""
LevelInstance,"/Script/Engine.LevelInstance","","LI_",""
LevelSequence,"/Script/LevelSequence.LevelSequence","","LS_",""
MapBuildDataRegistry,"/Script/Engine.MapBuildDataRegistry","","","_BuiltData"
Material,"/Script/Engine.Material","","M_",""
